Order ID,Order Date,CustomerName,State,City,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25681,04 June 2018,Bhawna,Madhya Pradesh,Indore,523,204,7,Clothing,Trousers,COD
B-25757,21 August 2018,Vishakha,Madhya Pradesh,Indore,211,19,8,Clothing,Stole,COD
B-25757,21 August 2018,Vishakha,Madhya Pradesh,Indore,165,30,3,Clothing,Stole,COD
B-25703,28 June 2018,Ekta,Madhya Pradesh,Indore,231,-190,9,Clothing,Hankerchief,COD
B-25703,28 June 2018,Ekta,Madhya Pradesh,Indore,97,-45,4,Clothing,Saree,COD
B-25703,28 June 2018,Ekta,Madhya Pradesh,Indore,47,-27,4,Clothing,Saree,COD
B-25655,11 May 2018,Nida,Madhya Pradesh,Indore,396,-31,9,Clothing,Saree,COD
B-25950,13 January 2018,Shruti,Madhya Pradesh,Indore,136,-33,5,Clothing,Saree,COD
B-25991,03 February 2018,Mansi,Madhya Pradesh,Indore,188,13,7,Clothing,Shirt,COD
B-25752,14 August 2018,Vaibhav,Madhya Pradesh,Indore,76,27,5,Clothing,Stole,COD
B-25873,23 November 2018,Divyeta,Madhya Pradesh,Indore,42,12,2,Clothing,Kurti,COD
B-25957,18 January 2018,Mahima,Madhya Pradesh,Indore,147,73,3,Clothing,Stole,COD
B-25957,18 January 2018,Mahima,Madhya Pradesh,Indore,209,2,1,Clothing,Saree,COD
B-25651,07 May 2018,Anurag,Madhya Pradesh,Indore,457,-41,4,Clothing,Saree,COD
B-25750,14 August 2018,Priyanshu,Madhya Pradesh,Indore,208,-25,2,Clothing,Saree,COD
B-25750,14 August 2018,Priyanshu,Madhya Pradesh,Indore,199,-18,2,Clothing,Saree,COD
B-25803,05 October 2018,Shivanshu,Madhya Pradesh,Indore,536,91,1,Clothing,Trousers,COD
B-25727,22 July 2018,Turumella,Madhya Pradesh,Indore,327,114,4,Clothing,Trousers,COD
B-25737,01 August 2018,Shubham,Madhya Pradesh,Indore,187,-15,3,Clothing,Trousers,COD
B-25680,04 June 2018,Aayushi,Madhya Pradesh,Indore,73,-25,3,Clothing,Saree,COD
B-25651,07 May 2018,Anurag,Madhya Pradesh,Indore,7,0,1,Clothing,Leggings,COD
B-25838,29 October 2018,Sanjana,Madhya Pradesh,Indore,161,40,3,Clothing,Stole,COD
B-25651,07 May 2018,Anurag,Madhya Pradesh,Indore,159,4,1,Clothing,Saree,COD
B-25818,14 October 2018,Sandeep,Madhya Pradesh,Indore,36,0,4,Clothing,Kurti,COD
B-25952,13 January 2018,Priyanka,Madhya Pradesh,Indore,147,48,3,Clothing,Saree,COD
B-25873,23 November 2018,Divyeta,Madhya Pradesh,Indore,66,12,3,Clothing,Stole,COD
B-26065,16 March 2018,Nida,Madhya Pradesh,Indore,146,19,5,Clothing,Stole,COD
B-25825,21 October 2018,Kartik,Madhya Pradesh,Indore,140,6,5,Clothing,Saree,COD
B-25818,14 October 2018,Sandeep,Madhya Pradesh,Indore,28,14,4,Clothing,Hankerchief,COD
B-25803,05 October 2018,Shivanshu,Madhya Pradesh,Indore,137,5,5,Clothing,Shirt,COD
B-25719,12 July 2018,Rashmi,Madhya Pradesh,Indore,29,10,2,Clothing,Stole,COD
B-26073,21 March 2018,Pournamasi,Madhya Pradesh,Indore,122,11,4,Clothing,Hankerchief,COD
B-25757,21 August 2018,Vishakha,Madhya Pradesh,Indore,34,-11,5,Clothing,T-shirt,COD
B-25777,10 September 2018,Aditi,Madhya Pradesh,Indore,117,17,6,Clothing,Kurti,COD
B-25825,21 October 2018,Kartik,Madhya Pradesh,Indore,115,25,6,Clothing,Stole,COD
B-25701,26 June 2018,Maithilee,Madhya Pradesh,Indore,10,-8,2,Clothing,Skirt,COD
B-25655,11 May 2018,Nida,Madhya Pradesh,Indore,97,-62,2,Clothing,Trousers,COD
B-25952,13 January 2018,Priyanka,Madhya Pradesh,Indore,87,-32,9,Clothing,Skirt,COD
B-25959,18 January 2018,Muskan,Madhya Pradesh,Indore,132,49,3,Clothing,Shirt,COD
B-25838,29 October 2018,Sanjana,Madhya Pradesh,Indore,81,19,7,Clothing,Hankerchief,COD
B-26100,31 March 2018,Hitika,Madhya Pradesh,Indore,72,16,2,Clothing,Shirt,COD
B-25838,29 October 2018,Sanjana,Madhya Pradesh,Indore,70,26,5,Clothing,Hankerchief,COD
B-25945,11 January 2018,Mhatre,Madhya Pradesh,Indore,63,14,2,Clothing,Shirt,COD
B-25708,01 July 2018,Kishwar,Madhya Pradesh,Indore,32,-8,2,Clothing,Stole,COD
B-25879,24 November 2018,Siddharth,Madhya Pradesh,Indore,57,-28,2,Clothing,Kurti,COD
B-25750,14 August 2018,Priyanshu,Madhya Pradesh,Indore,22,-12,3,Clothing,Stole,COD
B-26047,04 March 2018,Ashmi,Madhya Pradesh,Indore,55,12,5,Clothing,Skirt,COD
B-25627,23 April 2018,Hitika,Madhya Pradesh,Indore,55,-39,4,Clothing,Stole,COD
B-25950,13 January 2018,Shruti,Madhya Pradesh,Indore,54,27,2,Clothing,Stole,COD
B-25757,21 August 2018,Vishakha,Madhya Pradesh,Indore,53,15,2,Clothing,Stole,COD
